abstract,url,snipper,lead_par,pub_date,type_of_material
Congress seems to have lost interest in funding public health efforts against Covid-19.,https://www.nytimes.com/2022/03/25/opinion/covid-funding-congress-biden.html,Congress seems to have lost interest in funding public health efforts against Covid-19.,"The worst of the Covid-19 pandemic may be behind us, but pretending that it is over will not make it so. A new Omicron subvariant, BA.2, is driving up coronavirus case counts in Europe and Asia, and experts predict it soon will account for the majority of new cases in the United States. The impact is uncertain. On the one hand, many Americans have already been infected by a similar strain of the virus. On the other hand, BA.2 arrives as people increasingly are resuming prepandemic behaviors, and according to the Centers for Disease Control and Prevention, roughly one-third of Americans have not completed their initial round of vaccinations, and more than 70 percent have not received booster shots.",2022-03-25T19:00:08+0000,Editorial
"Globally, BA.2 made up about 86 percent of cases reported to the W.H.O. between Feb. 16 and March 17, the agency said in a report on Tuesday.",https://www.nytimes.com/2022/03/24/world/who-omicron-variant-ba2-cases.html,"Globally, BA.2 made up about 86 percent of cases reported to the W.H.O. between Feb. 16 and March 17, the agency said in a report on Tuesday.","The World Health Organization reported that the highly contagious Omicron subvariant, BA.2, that is helping to drive another surge of coronavirus cases in Europe is now the dominant version of Omicron around the world.",2022-03-24T09:17:15+0000,News
"The U.S. booster campaign has stalled, with about half of eligible adults still not boosted.",https://www.nytimes.com/2022/03/21/us/vaccination-rates-covid-cases.html,"The U.S. booster campaign has stalled, with about half of eligible adults still not boosted.","When the Covid vaccine first became widely available a year ago, it was a hopeful time, with demand exceeding capacity and millions of Americans jockeying for the nearest appointment slot. But, as of Monday, about a quarter of eligible adults were still not fully vaccinated, according to the Centers for Disease Control and Prevention.",2022-03-22T02:37:32+0000,News
Infections may rise in the United States. How it plays out is up to us.,https://www.nytimes.com/2022/03/22/opinion/covid-surge-prep.html,Infections may rise in the United States. How it plays out is up to us.,"The most important lesson of the Covid pandemic is that the only constant is change. Variants spread, cases surge and abate, treatments change and knowledge expands. This means that we — the public, elected officials and public health leaders — need to learn constantly and adapt quickly, acting on the insight that no one policy response is likely to stay effective for long.",2022-03-22T09:00:07+0000,Op-Ed
President Biden’s top adviser on Covid noted that indoor masking and other restrictions were lifted before latest E.U. surge.,https://www.nytimes.com/2022/03/20/health/fauci-us-cases-ba2.html,President Biden’s top adviser on Covid noted that indoor masking and other restrictions were lifted before latest E.U. surge.,"Dr. Anthony S. Fauci, the Biden administration’s top adviser on the pandemic, predicted on Sunday an “uptick” in coronavirus infections similar to the current increase in Europe, despite the current decline in cases, hospitalizations and deaths in the United States.",2022-03-20T17:45:06+0000,News
Lower vaccination and booster rates may be among the underlying factors.,https://www.nytimes.com/2022/03/19/science/black-adults-hospitalized-omicron-covid.html,Lower vaccination and booster rates may be among the underlying factors.,"Black adults were hospitalized at nearly four times the rate of white adults in the six weeks after Omicron became the predominant coronavirus variant in the United States, according to a study published by the Centers for Disease Control and Prevention.",2022-03-19T21:16:12+0000,News
"“We’ve been wearing rose-colored glasses instead of correcting our vision,” one scientist said.",https://www.nytimes.com/2022/03/19/health/covid-ba2-surge-variant.html,"“We’ve been wearing rose-colored glasses instead of correcting our vision,” one scientist said.","Scarcely two months after the Omicron variant drove coronavirus case numbers to frightening heights in the United States, scientists and health officials are bracing for another swell in the pandemic and, with it, the first major test of the country’s strategy of living with the virus while limiting its impact.",2022-03-19T13:24:52+0000,News
"The coronavirus pandemic hasn’t prompted most Americans to take influenza more seriously. Instead, more people are likely to think of Covid the way they think of flu, experts say.",https://www.nytimes.com/2022/03/18/health/flu-covid.html,"The coronavirus pandemic hasn’t prompted most Americans to take influenza more seriously. Instead, more people are likely to think of Covid the way they think of flu, experts say.","When Dr. Arnold Monto, a public health researcher at the University of Michigan, lectures about influenza, he starts by saying: “Flu is bad.”",2022-03-18T09:02:58+0000,News
Different choices that were available and plausible could have been made at several crucial turning points.,https://www.nytimes.com/2022/03/11/opinion/covid-health-pandemic.html,Different choices that were available and plausible could have been made at several crucial turning points.,"This article is part of Times Opinion’s reflection on the two-year mark of the Covid pandemic. Read more in a note from Alexandra Sifferlin, Opinion’s health and science editor, in our Opinion Today newsletter.",2022-03-11T10:00:12+0000,Op-Ed
"Booster shots, however, drastically increased that protection.",https://www.nytimes.com/2022/03/01/health/vaccine-kids-effectiveness-omicron.html,"Booster shots, however, drastically increased that protection.","Five months after immunization, two doses of the Pfizer-BioNTech vaccine appeared to offer virtually no defense against moderate illness caused by the Omicron variant — as measured by visits to emergency departments and urgent care clinics — among adolescents aged 12 to 17 years, according to data published on Tuesday by the Centers for Disease Control and Prevention.",2022-03-01T23:47:03+0000,News
The new vaccine from Sanofi and GSK achieved 100 percent efficacy against severe disease.,https://www.nytimes.com/2022/02/23/briefing/covid-vaccine-briefing.html,The new vaccine from Sanofi and GSK achieved 100 percent efficacy against severe disease.,The makers of a new coronavirus vaccine announced results from their clinical trials today — and they are very promising.,2022-02-23T22:55:38+0000,News
We’re over Covid. Are we able to move on from it for good?,https://www.nytimes.com/2022/03/09/opinion/covid-exhaustion-the-argument.html,We’re over Covid. Are we able to move on from it for good?,"This article is part of Times Opinion’s reflection on the two year mark of the coronavirus pandemic. Read more in a note from Alexandra Sifferlin, Opinion’s health and science editor, in our Opinion Today newsletter. ",2022-03-09T10:00:14+0000,Op-Ed
"Mask mandates have disappeared rapidly in the last few weeks in the United States as Omicron cases have receded. But some school districts, cities and one state are holding out, and some teachers, parents and students fear that dropping mask mandates in schools is premature.",https://www.nytimes.com/2022/03/08/us/us-mask-mandates-are-lifting-quickly-but-there-are-notable-exceptions.html,,"Mask mandates have disappeared rapidly in the last few weeks in the United States as Omicron cases have receded. But some school districts, cities and one state are holding out, and some teachers, parents and students fear that dropping mask mandates in schools is premature.",2022-03-08T11:54:36+0000,News
"And stark vaccination disparities between countries remain, leaving the entire world vulnerable to the threat of a new, deadly variant.",https://www.nytimes.com/2022/03/07/world/six-million-covid-deaths.html,"And stark vaccination disparities between countries remain, leaving the entire world vulnerable to the threat of a new, deadly variant.","Though many global coronavirus trends are rapidly improving as countries emerge from surges driven by the highly transmissible Omicron variant, the grimmest metric hit a tragic milestone on Monday.",2022-03-07T17:48:17+0000,News
How to come to terms with the uncertainty.,https://www.nytimes.com/2022/03/04/opinion/endemic-covid-future.html,How to come to terms with the uncertainty.,"Omicron cases, hospitalizations and deaths have been substantially declining across the United States for more than a month. In response, governors and mayors are rolling back restrictions like mask mandates and vaccine passports. Many wonder whether this period of low cases and decreasing demands on hospitals is a turning point in the pandemic or is simply a lull before a new variant causes another dangerous surge.",2022-03-04T10:00:12+0000,Op-Ed
"“The updated guidance is in response to changes in the nature of the pandemic and the increasing availability of new tools to prevent transmission and mitigate illness,” the agency said.",https://www.nytimes.com/2022/03/02/health/cdc-contact-tracing.html,"“The updated guidance is in response to changes in the nature of the pandemic and the increasing availability of new tools to prevent transmission and mitigate illness,” the agency said.","Almost two years after the director of the Centers for Disease Control and Prevention called for 100,000 contact tracers to contain the coronavirus, the C.D.C. said this week that it no longer recommends universal case investigation and contact tracing. Instead it encourages health departments to focus those practices on high-risk settings.",2022-03-02T10:00:37+0000,News
"A Food and Drug Administration official said the best time for an additional shot may be fall, when the spread of the coronavirus is expected to pick up again",https://www.nytimes.com/2022/02/17/us/fourth-dose-covid-vaccine.html,"A Food and Drug Administration official said the best time for an additional shot may be fall, when the spread of the coronavirus is expected to pick up again","WASHINGTON — Although new federal data suggests that the effectiveness of booster shots wanes after about four months, the Biden administration is not planning to recommend fourth doses of the coronavirus vaccine anytime soon.",2022-02-17T22:30:10+0000,News
The agency issued a new set of recommendations intended to help communities live with the virus and get back to normal life.,https://www.nytimes.com/2022/02/25/health/cdc-mask-guidance.html,The agency issued a new set of recommendations intended to help communities live with the virus and get back to normal life.,The Centers for Disease Control and Prevention on Friday offered a new strategy to help communities across the country live with the coronavirus and get back to some version of normal life.,2022-02-25T23:31:51+0000,News
"As the country is on course to live with the coronavirus, the vaccination drive is vanishing.",https://www.nytimes.com/2022/02/25/us/covid-vaccination-rate.html,"As the country is on course to live with the coronavirus, the vaccination drive is vanishing.","A year after the first coronavirus vaccines became available in the United States, and after months of politicized fights over vaccine mandates, the country’s campaign to vaccinate its population seems to have hit a wall, with very few people showing up for first shots.",2022-02-25T13:03:07+0000,News
Antsy executives have a message for their employees: Plans to return to in-person work are real this time.,https://www.nytimes.com/2022/02/24/business/return-to-work-office.html,Antsy executives have a message for their employees: Plans to return to in-person work are real this time.,"Executives at the investment firm TIAA are especially proud of one aspect of their back-to-work plans: The company is on only its second round of setting a return-to-office date. They first hoped to bring employees back in January, but were derailed by the Omicron variant. Now the firm is targeting March 7.",2022-02-24T10:00:17+0000,News
"The U.S. government said it would provide “intensive financial, technical and diplomatic support” to African countries that have recently shown the capacity to hasten vaccine uptake.",https://www.nytimes.com/2022/02/18/world/africa/biden-africa-vaccine-aid.html,"The U.S. government said it would provide “intensive financial, technical and diplomatic support” to African countries that have recently shown the capacity to hasten vaccine uptake.","The United States will increase coronavirus vaccine assistance to 11 African nations, officials said on Thursday, in an effort to prevent future variants and bolster inoculation efforts in the least vaccinated continent.",2022-02-18T12:01:48+0000,News
It’s not clear whether three doses of the Pfizer-BioNTech vaccine will adequately protect young children. But the F.D.A. may authorize the first two doses anyway.,https://www.nytimes.com/2022/02/09/health/covid-kids-vaccines.html,It’s not clear whether three doses of the Pfizer-BioNTech vaccine will adequately protect young children. But the F.D.A. may authorize the first two doses anyway.,The Food and Drug Administration’s upcoming review of the Pfizer-BioNTech coronavirus vaccine for young children is without precedent in recent history.,2022-02-09T20:16:21+0000,News
"The partisan gap in Covid deaths is still growing, but more slowly.",https://www.nytimes.com/2022/02/18/briefing/red-covid-partisan-deaths-vaccines.html,"The partisan gap in Covid deaths is still growing, but more slowly.","Ocean County, in central New Jersey, is a mixture of beach towns like Barnegat Light and exurban towns like Toms River and Lakewood. Household income in the county exceeds the U.S. average.",2022-02-18T11:24:29+0000,briefing
Federal health officials say they are not planning on recommending fourth doses any time soon.,https://www.nytimes.com/2022/02/17/briefing/coronavirus-what-happened-today-boosters.html,Federal health officials say they are not planning on recommending fourth doses any time soon.,Protection from Covid vaccine boosters might be shorter than we would have hoped.,2022-02-17T22:45:31+0000,News
"Transplant recipients, cancer patients and millions of other Americans with risk factors feel ignored and abandoned as their neighbors, and their government, seek a return to normal.",https://www.nytimes.com/2022/02/17/us/high-risk-covid-immunocompromised.html,"Transplant recipients, cancer patients and millions of other Americans with risk factors feel ignored and abandoned as their neighbors, and their government, seek a return to normal.","Denisse Takes’s world is very small these days. She makes a living by producing songs from her living room, plays “Animal Crossing” online with friends and leaves her home in Burbank, Calif., only occasionally to walk her dog.",2022-02-17T10:00:24+0000,News
Requiring children to get vaccinated for Covid is controversial. We should consider it anyway.,https://www.nytimes.com/2022/02/07/opinion/covid-vaccine-mandate-school-kids.html,Requiring children to get vaccinated for Covid is controversial. We should consider it anyway.,"The rapid spread of Omicron across the nation — and the finding that vaccines continue to provide strong protection against severe disease — brings Covid-19 one step closer, perhaps, to truly earning its place on the list of diseases that have been tamed by vaccines. These include polio, measles, mumps, rubella,and chickenpox, all of which most kids must generally be vaccinated against before they enter school or day care. Some states have announced Covid vaccine requirements for some students.",2022-02-07T20:00:07+0000,Op-Ed
"Protesters snarled traffic in the capital, Ottawa, and continued blockades at some of the busiest routes linking Canada to the United States, demanding an end to vaccine mandates and coronavirus restrictions.",https://www.nytimes.com/video/world/canada/100000008203107/canada-trucker-protest-vaccine-mandate.html,"Protesters snarled traffic in the capital, Ottawa, and continued blockades at some of the busiest routes linking Canada to the United States, demanding an end to vaccine mandates and coronavirus restrictions.","Protesters snarled traffic in the capital, Ottawa, and continued blockades at some of the busiest routes linking Canada to the United States, demanding an end to vaccine mandates and coronavirus restrictions.",2022-02-11T02:23:57+0000,Video
"Dr. Vivek Murthy, the surgeon general, pledged that the Pfizer-BioNTech vaccine for children younger than 5 would undergo a full “transparent review process” by the Food and Drug Administration before receiving authorization.",https://www.nytimes.com/video/us/100000008188871/pfizer-vaccine-children-fda-approval.html,"Dr. Vivek Murthy, the surgeon general, pledged that the Pfizer-BioNTech vaccine for children younger than 5 would undergo a full “transparent review process” by the Food and Drug Administration before receiving authorization.","Dr. Vivek Murthy, the surgeon general, pledged that the Pfizer-BioNTech vaccine for children younger than 5 would undergo a full “transparent review process” by the Food and Drug Administration before receiving authorization.",2022-02-03T01:47:02+0000,Video
"The protein-based shot, already authorized in some parts of the world, has faced long delays, and it is not clear what role it will play in the United States.",https://www.nytimes.com/2022/01/31/business/novavax-vaccine-fda.html,"The protein-based shot, already authorized in some parts of the world, has faced long delays, and it is not clear what role it will play in the United States.",The pharmaceutical company Novavax said on Monday that it had submitted an application to the Food and Drug Administration seeking authorization for its long-delayed protein-based coronavirus vaccine.,2022-01-31T19:26:05+0000,News
The balance of recent surveys suggests that the desire to return to normalcy has approached or even overtaken alarm about the coronavirus itself.,https://www.nytimes.com/2022/02/08/us/politics/covid-restrictions-americans.html,The balance of recent surveys suggests that the desire to return to normalcy has approached or even overtaken alarm about the coronavirus itself.,A wave of polls taken as the Omicron variant crested across much of the United States shows new signs that the public’s resolve to combat the coronavirus pandemic is waning.,2022-02-08T19:43:44+0000,News
Public health is rooted in the soil of trust.,https://www.nytimes.com/2022/02/06/opinion/covid-pandemic-policy-trust.html,Public health is rooted in the soil of trust.,"If the C.D.C. had recommended better masks from the beginning, how many people would have worn them and for how long? If the Biden administration had flooded stores with cheap rapid tests, would people have used them? If boosters had been pushed earlier, and more loudly, would the United States no longer trail peer nations in vaccinations?",2022-02-06T15:00:04+0000,Op-Ed
"Among those under age 50, vaccination even without a booster protected strongly against hospitalization and death, according to new C.D.C. data.",https://www.nytimes.com/2022/02/04/health/covid-boosters-older-younger.html,"Among those under age 50, vaccination even without a booster protected strongly against hospitalization and death, according to new C.D.C. data.","The Centers for Disease Control and Prevention on Thursday night published new data on the risks of hospitalization and death from Covid-19 among people who are unvaccinated and vaccinated, with or without booster doses.",2022-02-04T23:21:51+0000,News
"New case reports are waning, but deaths have yet to peak, and Americans are wondering what long-term coexistence with the coronavirus might look like.",https://www.nytimes.com/2022/02/04/us/us-covid-deaths.html,"New case reports are waning, but deaths have yet to peak, and Americans are wondering what long-term coexistence with the coronavirus might look like.","CHICAGO — More than 2,600 Americans are dying from Covid-19 each day, an alarming rate that has climbed by 30 percent in the past two weeks. Across the United States, the coronavirus pandemic has now claimed more than 900,000 lives.",2022-02-04T21:48:06+0000,News
January was awful for parents and caregivers. We can do better.,https://www.nytimes.com/2022/02/02/opinion/vaccines-child-care.html,January was awful for parents and caregivers. We can do better.,"In January, parents of kids under 5 told me they were in a state of despair and semi-panic; emotionally, they were at the lowest I’d heard them since the pandemic’s beginning in March 2020. The wait for vaccine approval for under-5s (which may be over soon) was a part of that. But another part of their upset was the fact that the expensive child care they were paying for was often unreliable: Children’s day care classes were routinely getting shut down because of too many coronavirus cases or because kids were getting sent home for quarantines of 10 days or longer based on exposure.",2022-02-02T14:25:18+0000,Op-Ed
"Overconfidence, indifference and weariness are perhaps the biggest dangers.",https://www.nytimes.com/2022/01/31/opinion/covid-pandemic-end.html,"Overconfidence, indifference and weariness are perhaps the biggest dangers.",Most histories of the 1918 influenza pandemic that killed at least 50 million people worldwide say it ended in the summer of 1919 when a third wave of the respiratory contagion finally subsided.,2022-01-31T10:00:17+0000,Op-Ed
The growing normalcy divide within liberal America.,https://www.nytimes.com/2022/01/29/opinion/mask-school-covid-rules.html,The growing normalcy divide within liberal America.,"The line between zealous Covid precautions and a mask-optional existence does not run simply between red and blue America, between areas that voted for Joe Biden and those that voted for Donald Trump. As Park MacDougald pointed out in a recent essay for the online magazine UnHerd, if you’re a New York City resident, you can experience two completely different realities just by traveling the short distance from the posher parts of Brooklyn to where he lives in Queens — passing from a world of ubiquitous N95s and careful checking of vaccine cards to a world where masking is maybe a 50 percent proposition and, outside of hipster establishments, the vaccine-pass rules are “almost totally unenforced.”",2022-01-29T20:00:06+0000,Op-Ed
"For those with underlying medical conditions, the latest pandemic wave has still posed a threat.",https://www.nytimes.com/2022/01/29/health/omicron-chronic-illness.html,"For those with underlying medical conditions, the latest pandemic wave has still posed a threat.","Regina Perez, 57, had never been hospitalized for her lifelong asthma condition until she came down with Covid this month.",2022-01-29T18:16:34+0000,News
"Getting more young school-age children vaccinated is crucial for ending the pandemic, public health officials say, and many are focusing on that group.",https://www.nytimes.com/2022/01/29/health/covid-vaccine-children.html,"Getting more young school-age children vaccinated is crucial for ending the pandemic, public health officials say, and many are focusing on that group.","For weeks, the school principal had been imploring Kemika Cosey: Would she please allow her children, 7 and 11, to get Covid shots?",2022-01-29T10:00:18+0000,News
"With spotty immunity in the population and a churn of new variants, the coronavirus is likely to become a persistent but hopefully manageable threat.",https://www.nytimes.com/2022/01/27/health/omicron-covid-pandemic.html,"With spotty immunity in the population and a churn of new variants, the coronavirus is likely to become a persistent but hopefully manageable threat.","After a frenetic few weeks when the Omicron variant of the coronavirus seemed to infect everyone, including the vaccinated and boosted, the United States is finally seeing encouraging signs.",2022-01-27T08:00:14+0000,News
What a poll of Americans reveals about how ready the nation is to discuss living with the virus.,https://www.nytimes.com/2022/01/26/podcasts/the-daily/omicron-coronavirus-behaviors.html,What a poll of Americans reveals about how ready the nation is to discuss living with the virus.,"It appears that the United States may be at a turning point in the pandemic. The contagiousness of the Omicron variant has many people resigned to the fact that they probably will be infected; this variant is, relative to its predecessors and in most cases, milder; and there is universal vaccine access for those old enough to receive a shot.",2022-01-26T11:00:07+0000,News
Dr. Anthony S. Fauci did say that there “may be a bit more pain and suffering with hospitalizations in those areas of the country” with lower vaccination rates.,https://www.nytimes.com/2022/01/23/health/fauci-omicron-peak.html,Dr. Anthony S. Fauci did say that there “may be a bit more pain and suffering with hospitalizations in those areas of the country” with lower vaccination rates.,"Dr. Anthony S. Fauci, sounded cautiously optimistic on Sunday that the Omicron wave was peaking nationally in the United States and that the coronavirus cases could fall to manageable levels in the coming months.",2022-01-23T17:23:26+0000,News
"Extra vaccine doses were expected to lower infection rates. But the shots also seem to be preventing severe illness caused by the new variant, the C.D.C. reported.",https://www.nytimes.com/2022/01/21/health/covid-boosters-cdc-omicron.html,"Extra vaccine doses were expected to lower infection rates. But the shots also seem to be preventing severe illness caused by the new variant, the C.D.C. reported.","Booster shots of the Pfizer-BioNTech and Moderna vaccines are not just reducing the number of infections with the highly contagious Omicron variant, they’re also keeping infected Americans out of hospitals, according to data published on Friday by the Centers for Disease Control and Prevention.",2022-01-21T23:37:40+0000,News
"Karen S. Lynch, who took over during the pandemic, is dealing with insurance, opioids, vaccines, politics and more.",https://www.nytimes.com/2022/01/21/business/karen-lynch-cvs-health-ceo.html,"Karen S. Lynch, who took over during the pandemic, is dealing with insurance, opioids, vaccines, politics and more.","Some corporations are so big, so intertwined with the economy and our daily lives and current events and politics, that it can be difficult to grasp the true scope of their importance.",2022-01-21T14:00:08+0000,News
Ron Klain reflects on the first year of the administration.,https://www.nytimes.com/2022/01/21/opinion/ezra-klein-podcast-ron-klain.html,Ron Klain reflects on the first year of the administration.,It’s been a year since Joe Biden was sworn in as the 46th president of the United States. And what a roller coaster of a year it’s been.,2022-01-21T10:00:25+0000,Op-Ed
"Facing an uncontrolled surge of virus cases, parents of young children are again forced to wrestle with child care crises as the rest of the world appears eager to move on.",https://www.nytimes.com/2022/01/14/us/covid-vaccines-children.html,"Facing an uncontrolled surge of virus cases, parents of young children are again forced to wrestle with child care crises as the rest of the world appears eager to move on.","HOUSTON — Twice last year, Margaret Schulte and her husband, Jason Abercrombie, traveled 11 hours round-trip to Louisiana from their home in Tulsa, Okla., in the hopes of vaccinating their children, who were 2 and 4, against the coronavirus.",2022-01-14T10:00:28+0000,News
The coffee company is among the first major employers to roll back plans after the Supreme Court blocked the Biden administration’s mandate for large businesses.,https://www.nytimes.com/2022/01/19/business/starbucks-vaccine-mandate.html,The coffee company is among the first major employers to roll back plans after the Supreme Court blocked the Biden administration’s mandate for large businesses.,"The Supreme Court’s ruling last week shutting down the Biden administration’s effort to enlist large employers in its vaccination campaign, experts said, would trigger a new wave of uncertainty about how companies keep workers safe from Covid-19.",2022-01-19T17:49:48+0000,News
Zeynep Tufekci helps me understand the systems-wide failure on Covid — and how we can prepare for the pandemic’s next phase.,https://www.nytimes.com/2022/01/18/opinion/ezra-klein-podcast-zeynep-tufekci.html,Zeynep Tufekci helps me understand the systems-wide failure on Covid — and how we can prepare for the pandemic’s next phase.,"I remember thinking, as Covid ravaged the country in December 2020, that at least the holidays the next year would be better. There would be more vaccines, more treatments, more immunity. Instead, we got Omicron and a confusing new phase of the pandemic. What do you do with a variant that is both monstrously more infectious and somewhat milder? What do you say about another year when we didn’t have enough tests, enough ventilation or the best guidance on masks? And how do you handle the fracturing politics of a changing pandemic in an exhausted country?",2022-01-18T10:00:06+0000,Op-Ed
"There is talk about moving from ‘containment to management,’ with fewer restrictions as spring semester progresses.",https://www.nytimes.com/2022/01/16/us/politics/colleges-covid-coronavirus.html,"There is talk about moving from ‘containment to management,’ with fewer restrictions as spring semester progresses.","As the Omicron surge spreads across the country, sending Covid-19 case counts to new heights and disrupting daily life, some universities are preparing for a new phase of the pandemic — one that acknowledges that the virus is here to stay and requires a rethinking of how to handle life on campus.",2022-01-16T08:00:14+0000,News
The Supreme Court’s decision on vaccine mandates leaves the door open for a new strategy to protect workers.,https://www.nytimes.com/2022/01/14/opinion/supreme-court-vaccine-mandate-osha.html,The Supreme Court’s decision on vaccine mandates leaves the door open for a new strategy to protect workers.,"The Supreme Court’s decision on Thursday to block the Occupational Safety and Health Administration from requiring large employers to make sure that their workers are either vaccinated against the coronavirus or masked at work and tested weekly was a setback for America’s efforts to stop the pandemic. The six Republican-appointed justices are helping to prolong the pandemic, endanger workers and extend the labor shortage that has disrupted the economy.",2022-01-15T00:00:05+0000,Op-Ed
Leaders are too focused on risks to individuals versus the population as a whole.,https://www.nytimes.com/2022/01/14/opinion/covid-america.html,Leaders are too focused on risks to individuals versus the population as a whole.,"Caring for an individual and protecting a population require different priorities, practices and ways of thinking. While it may sound counterintuitive, to heal the country and put our Covid-19 response on the right track, we need to think less like doctors.",2022-01-14T10:00:14+0000,Op-Ed
"As of Sunday, 142,388 people with the virus were hospitalized nationwide, according to federal data, surpassing the single-day peak reported on Jan. 14 of last year.",https://www.nytimes.com/2022/01/11/us/us-hospitalizations-surge-omicron.html,"As of Sunday, 142,388 people with the virus were hospitalized nationwide, according to federal data, surpassing the single-day peak reported on Jan. 14 of last year.","The number of Americans hospitalized with Covid-19 has surpassed last winter’s peak, underscoring the severity of the threat the virus continues to pose as the extremely contagious Omicron variant tears through the United States.",2022-01-11T00:23:05+0000,News
"A change in federal recommendations allows moderately or severely immunocompromised people to receive their boosters five months after their third shot, which was a part of the primary immunization.",https://www.nytimes.com/2022/01/09/health/immunocompromised-fourth-dose-booster.html,"A change in federal recommendations allows moderately or severely immunocompromised people to receive their boosters five months after their third shot, which was a part of the primary immunization.","Some people with a weakened immune system can get a fourth dose of the coronavirus vaccine as early as this coming week, according to recommendations from the Centers for Disease Control and Prevention that were updated last week.",2022-01-09T20:48:08+0000,News
